,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
159,Carlos Riquelme Ruiz,Male,Stanford University,Alessandro Lazaric,Male,FACEBOOK,Active Learning for Accurate Estimation of Linear Models
160,Poan Wang,Male,Academia sinica,Chi-Jen Lu,Male,Academia Sinica,Tensor Decomposition via Simultaneous Power Iteration
161,Kaifeng Lyu,Male,Tsinghua University,Jian Li,Male,IIIS,Learning Gradient Descent: Better Generalization and Longer Horizons
162,Chaoxu Zhou,Male,Columbia University,Donald Goldfarb,Male,Columbia University,Stochastic Adaptive Quasi-Newton Methods for Minimizing Expected Values
163,Andrew Saxe,Male,Harvard University,Benjamin Rosman,Male,Council for Scientific and Industrial Research (CSIR),Hierarchy Through Composition with Multitask LMDPs
164,Satyen Kale,Male,Google Research,David Pal,Male,Yahoo,Adaptive Feature Selection: Computationally Efficient Online Sparse Linear Regression under RIP
165,Lingxiao Wang,Male,University of Virginia,Quanquan Gu,Male,University of Virginia,A Unified Variance Reduction-Based Framework for Nonconvex Low-Rank Matrix Recovery
166,Philip Bachman,Male,Maluuba,Adam Trischler,Male,Maluuba,Learning Algorithms for Active Learning
167,Alex Botev,Male,University College London,David Barber,Male,University College London,Practical Gauss-Newton Optimisation for Deep Learning
168,Marlos C. Machado,Male,University of Alberta,Michael Bowling,Male,University of Alberta,A Laplacian Framework for Option Discovery in Reinforcement Learning
169,Sebastian Pokutta,Male,Georgia Tech,Oskar Schneider,Male,,Emulating the Expert: Inverse Optimization through Online Learning
170,Dave Anderson,Male,UC Berkeley,Ming Gu,Male,University of California at Berkeley,"An Efficient, Sparsity-Preserving, Online Algorithm for Low-Rank Approximation"
171,Mahito Sugiyama,Male,National Institute of Informatics,Koji Tsuda,Male,University of Tokyo / RIKEN,Tensor Balancing on Statistical Manifold
172,Jacob Andreas,Male,UC Berkeley,Sergey Levine,Male,Berkeley,Modular Multitask Reinforcement Learning with Policy Sketches
173,Mahesh Chandra Mukkamala,Male,Saarland University,Matthias Hein,Male,Saarland University,Variants of RMSProp and Adagrad with Logarithmic Regret Bounds
174,Flavio Chierichetti,Male,Sapienza University of Rome,David Woodruff,Male,,Algorithms for $\ell_p$ Low-Rank Approximation
175,Ke Sun,Male,KAUST,Frank Nielsen,Male,École Polytechnique,Relative Fisher Information and Natural Gradient for Learning Large Modular Models
176,Zakaria mhammedi,Male,The University of Melbourne,Ashfaqur Rahman,Male,CSIRO,Efficient Orthogonal Parametrisation of Recurrent Neural Networks Using Householder Reflections
177,Gábor Braun,Male,Georgia Institute of Technology,Daniel Zink,Male,,Lazifying Conditional Gradient Algorithms
178,Josiah Hanna,Male,University of Texas at Austin,Scott Niekum,Male,University of Texas at Austin,Data-Efficient Policy Evaluation Through Behavior Policy Search
179,Erik Lindgren,Male,University of Texas at Austin,Adam Klivans,Male,University of Texas at Austin,Exact MAP Inference by Avoiding Fractional Vertices
