,year,first-author,last-author,journal/conference,title,number-of-authors,paper-url,DBLP-url
6248,2012,L. Elisa Celis,David R. M. Thompson,AAAI,Approximately Revenue-Maximizing Auctions for Deliberative Agents.,5,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5164,https://dblp.org/rec/conf/aaai/CelisKLNT12
6249,2012,Iadine Chades,Olivier Buffet,AAAI,MOMDPs - A Solution for Modelling Adaptive Management Problems.,6,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4990,https://dblp.org/rec/conf/aaai/ChadesCMNSB12
6250,2012,Chayan Chakrabarti,Chayan Chakrabarti,AAAI,Enriching Chatter Bots With Semantic Conversation Control.,1,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4879,https://dblp.org/rec/conf/aaai/Chakrabarti12
6251,2012,Prithwish Chakraborty,Naren Ramakrishnan,AAAI,Fine-Grained Photovoltaic Output Prediction Using a Bayesian Ensemble.,4,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5163,https://dblp.org/rec/conf/aaai/ChakrabortyMAR12
6252,2012,Melisachew Wudage Chekol,Nabil Layaïda,AAAI,SPARQL Query Containment Under SHI Axioms.,4,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4924,https://dblp.org/rec/conf/aaai/ChekolEGL12
6253,2012,Xing Chen,Masaru Kitsuregawa,AAAI,Recommending Related Microblogs - A Comparison Between Topic and WordNet based Approaches.,5,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4892,https://dblp.org/rec/conf/aaai/ChenLXYK12
6254,2012,Wei Chen 0013,Ning Zhang,AAAI,Time-Critical Influence Maximization in Social Networks with Time-Delayed Diffusion Process.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5024,https://dblp.org/rec/conf/aaai/ChenLZ12
6255,2012,Ning Chen 0005,Hongyang Zhang,AAAI,"Computing the Nucleolus of Matching, Cover and Clique Games.",3,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4979,https://dblp.org/rec/conf/aaai/ChenLZ12a
6256,2012,Qiang Cheng,Alexander T. Ihler,AAAI,Approximating the Sum Operation for Marginal-MAP Inference.,5,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4916,https://dblp.org/rec/conf/aaai/ChengCDXI12
6257,2012,Chen Cheng,Michael R. Lyu,AAAI,Fused Matrix Factorization with Geographical and Social Influence in Location-Based Social Networks.,4,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4748,https://dblp.org/rec/conf/aaai/ChengYKL12
6258,2012,Michael Chiang,David Poole 0001,AAAI,A Search Algorithm for Latent Variable Models with Unbounded Domains.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5027,https://dblp.org/rec/conf/aaai/ChiangP12
6259,2012,Ludek Cigler,Boi Faltings,AAAI,Symmetric Subgame Perfect Equilibria in Resource Allocation.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4806,https://dblp.org/rec/conf/aaai/CiglerF12
6260,2012,Alessandro Cimatti,Marco Roveri,AAAI,Solving Temporal Problems Using SMT - Weak Controllability.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4986,https://dblp.org/rec/conf/aaai/CimattiMR12
6261,2012,Alessandro Cimatti,Stefano Tonetta,AAAI,SMT-Based Verification of Hybrid Systems.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5072,https://dblp.org/rec/conf/aaai/CimattiMT12
6262,2012,Carleton Coffrin,Russell Bent,AAAI,Last-Mile Restoration for Multiple Interdependent Infrastructures.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4969,https://dblp.org/rec/conf/aaai/CoffrinHB12
6263,2012,Alexandra Coman,Alexandra Coman,AAAI,Solution Diversity in Planning.,1,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4819,https://dblp.org/rec/conf/aaai/Coman12
6264,2012,Vincent Conitzer,Vincent Conitzer,AAAI,Computing Game-Theoretic Solutions and Applications to Security.,1,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5149,https://dblp.org/rec/conf/aaai/Conitzer12
