,year,first-author,last-author,journal/conference,title,number-of-authors,paper-url,DBLP-url
601,2015,Francesco Belardinelli,Wiebe van der Hoek,IJCAI,Epistemic Quantified Boolean Logic - Expressiveness and Completeness Results.,2,http://ijcai.org/Abstract/15/389,https://dblp.org/rec/conf/ijcai/BelardinelliH15
602,2015,Vaishak Belle,Gerhard Lakemeyer,IJCAI,Only Knowing Meets Common Knowledge.,2,http://ijcai.org/Abstract/15/390,https://dblp.org/rec/conf/ijcai/BelleL15
603,2015,Vaishak Belle,Hector J. Levesque,IJCAI,ALLEGRO - Belief-Based Programming in Stochastic Dynamical Domains.,2,http://ijcai.org/Abstract/15/391,https://dblp.org/rec/conf/ijcai/BelleL15a
604,2015,Vaishak Belle,Guy Van den Broeck,IJCAI,Probabilistic Inference in Hybrid Domains by Weighted Model Integration.,3,http://ijcai.org/Abstract/15/392,https://dblp.org/rec/conf/ijcai/BellePB15
605,2015,Marc G. Bellemare,Marc G. Bellemare,IJCAI,Count-Based Frequency Estimation with Bounded Memory.,1,http://ijcai.org/Abstract/15/470,https://dblp.org/rec/conf/ijcai/Bellemare15
606,2015,Marc G. Bellemare,Michael Bowling,IJCAI,The Arcade Learning Environment - An Evaluation Platform for General Agents (Extended Abstract).,4,http://ijcai.org/Abstract/15/585,https://dblp.org/rec/conf/ijcai/BellemareNVB15
607,2015,Nawal Benabbou,Patrice Perny,IJCAI,Combining Preference Elicitation and Search in Multiobjective State-Space Graphs.,2,http://ijcai.org/Abstract/15/048,https://dblp.org/rec/conf/ijcai/BenabbouP15
608,2015,Salem Benferhat,Karim Tabia,IJCAI,How to Select One Preferred Assertional-Based Repair from Inconsistent and Prioritized DL-Lite Knowledge Bases?,3,http://ijcai.org/Abstract/15/208,https://dblp.org/rec/conf/ijcai/BenferhatBT15
609,2015,Salem Benferhat,Vladik Kreinovich,IJCAI,Compatible-Based Conditioning in Interval-Based Possibilistic Logic.,4,http://ijcai.org/Abstract/15/393,https://dblp.org/rec/conf/ijcai/BenferhatLTK15
610,2015,M. Sahbi Benlamine,Fabien Gandon,IJCAI,Emotions in Argumentation - an Empirical Evaluation.,6,http://ijcai.org/Abstract/15/029,https://dblp.org/rec/conf/ijcai/BenlamineCVCFG15
611,2015,Jeremias Berg,Matti Järvisalo,IJCAI,Improving the Effectiveness of SAT-Based Preprocessing for MaxSAT.,3,http://ijcai.org/Abstract/15/040,https://dblp.org/rec/conf/ijcai/BergSJ15
612,2015,Shlomo Berkovsky,Harri Oinas-Kukkonen,IJCAI,Influencing Individually - Fusing Personalization and Persuasion (Extended Abstract).,3,http://ijcai.org/Abstract/15/586,https://dblp.org/rec/conf/ijcai/BerkovskyFO15
613,2015,Heider Berlink,Anna H. R. Costa,IJCAI,Batch Reinforcement Learning for Smart Home Energy Management.,2,http://ijcai.org/Abstract/15/363,https://dblp.org/rec/conf/ijcai/BerlinkC15
614,2015,Alexander Berman,Valencia James,IJCAI,Kinetic Imaginations - Exploring the Possibilities of Combining AI and Dance.,2,http://ijcai.org/Abstract/15/344,https://dblp.org/rec/conf/ijcai/BermanJ15
615,2015,Lilian Berton,Alneu de Andrade Lopes,IJCAI,Graph Construction for Semi-Supervised Learning.,2,http://ijcai.org/Abstract/15/619,https://dblp.org/rec/conf/ijcai/BertonL15
616,2015,Christian Bessiere,Toby Walsh,IJCAI,Reasoning about Connectivity Constraints.,4,http://ijcai.org/Abstract/15/364,https://dblp.org/rec/conf/ijcai/BessiereHKW15
617,2015,René van Bevern,Toby Walsh,IJCAI,"H-Index Manipulation by Merging Articles - Models, Theory, and Experiments.",5,http://ijcai.org/Abstract/15/119,https://dblp.org/rec/conf/ijcai/BevernKNSW15
618,2015,Piotr Tadeusz Bilinski,François Brémond,IJCAI,Video Covariance Matrix Logarithm for Human Action Recognition in Videos.,2,http://ijcai.org/Abstract/15/303,https://dblp.org/rec/conf/ijcai/BilinskiB15
619,2015,Francis Bisson,Froduald Kabanza,IJCAI,Using a Recursive Neural Network to Learn an Agent's Decision Model for Plan Recognition.,3,http://ijcai.org/Abstract/15/134,https://dblp.org/rec/conf/ijcai/BissonLK15
