,Unnamed: 0,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
170,170,Alexander Ratner,Male,Stanford University,Christopher Ré,Male,Stanford University,"Data Programming: Creating Large Training Sets, Quickly."
171,171,Moein Falahatgar,Male,UCSD,Alon Orlitsky,Male,"University of California, San Diego",Near-Optimal Smoothing of Structured Conditional Probability Matrices.
172,172,Victor Soto,Male,Columbia University,Gonzalo Martinez-Muñoz,Male,Universidad Autónoma de Madrid,An urn model for majority voting in classification ensembles.
173,173,Kirthevasan Kandasamy,Male,CMU,Jeff Schneider,Male,CMU,The Multi-fidelity Multi-armed Bandit.
174,174,Kevin Winner,Male,UMass CICS,Dan Sheldon,Male,University of Massachusetts Amherst,Probabilistic Inference with Generating Functions for Poisson Latent Variable Models.
175,175,Nguyen Viet Cuong,Male,National University of Singapore,Huan Xu,Male,NUS,Adaptive Maximization of Pointwise Submodular Functions With Budget Constraint.
176,176,Di He,Male,Microsoft,Wei-Ying Ma,Male,Microsoft,Dual Learning for Machine Translation.
177,177,devon Hjelm,Male,University of New Mexico,Junyoung Chung,Male,University of Montreal,Iterative Refinement of the Approximate Posterior for Directed Belief Networks.
178,178,Jacob Steinhardt,Male,Stanford University,Percy Liang,Male,Stanford University,Unsupervised Risk Estimation Using Only Conditional Independence Structure.
179,179,Jiasen Lu,Male,Virginia Tech,Devi Parikh,Male,Virginia Tech,Hierarchical Question-Image Co-Attention for Visual Question Answering.
180,180,Remi Lam,Male,MIT,David Wolpert,Male,NASA Ames Research  Center,Bayesian Optimization with a Finite Budget: An Approximate Dynamic Programming Approach.
181,181,Marcin Andrychowicz,Male,Google Deepmind,Nando de Freitas,Male,Google,Learning to learn by gradient descent by gradient descent.
182,182,Ashish Khetan,Male,University of Illinois Urbana-,Sewoong Oh,Male,UIUC,Computational and Statistical Tradeoffs in Learning to Rank.
183,183,Stephen Ragain,Male,Stanford University,Johan Ugander,Male,Stanford University,Pairwise Choice Markov Chains.
184,184,Ching-An Cheng,Male,Georgia Institute of Technolog,Byron Boots,Male,Georgia Tech / Google Brain,Incremental Variational Sparse Gaussian Process Regression.
185,185,Wei Chen,Male,Microsoft Research,Pinyan Lu,Male,Shanghai University of Finance and Economics,Combinatorial Multi-Armed Bandit with General Reward Functions.
186,186,Ricardo Silva,Male,University College London,Ricardo Silva,Male,University College London,Observational-Interventional Priors for Dose-Response Learning.
187,187,Guillaume Papa,Male,Télécom ParisTech,Stephan Clémençon,Male,Telecom ParisTech,On Graph Reconstruction via Empirical Risk Minimization: Fast Learning Rates and Scalability.
188,188,Geoffrey Irving,Male,Google,Josef Urban,Male,Czech Technical University in Prague,DeepMath - Deep Sequence Models for Premise Selection.
189,189,Haipeng Luo,Male,Princeton University,John Langford,Male,Microsoft Research New York,Efficient Second Order Online Learning by Sketching.
190,190,Tamara Fernandez,Female,Oxford,Yee Whye Teh,Male,"University of Oxford, DeepMind",Gaussian Processes for Survival Analysis.
191,191,Eric Balkanski,Male,Harvard University,Yaron Singer,Male,Harvard University,The Power of Optimization from Samples.
192,192,Srinadh Bhojanapalli,Male,TTI Chicago,Nati Srebro,Male,TTI-Chicago,Global Optimality of Local Search for Low Rank Matrix Recovery.
193,193,Ying Yang,Male,Carnegie Mellon University,Rob E Robert,Male,Carnegie Mellon University,A state-space model of cross-region dynamic connectivity in MEG/EEG.
194,194,Hao Zhou,Male,University of Wisconsin Madiso,Sterling C Johnson,Male,University of Wisconsin Madison,Hypothesis Testing in Unsupervised Domain Adaptation with Applications in Alzheimer's Disease.
