,first-author,first-author-affiliation,First Author Gender,last-author,last-author-affiliation,Last Author Affiliation,title
179,Youngsuk Park,Stanford University,Male,Handong Zhao,Adobe Research,Male,Structured Policy Iteration for Linear Quadratic Regulator
180,Arman Hasanzadeh,Texas A&M University,Male,Xiaoning Qian,Texas A&M University,Male,Bayesian Graph Neural Networks with Adaptive Connection Sampling
181,Wenxian Shi,Bytedance,Female,Lei Li,ByteDance AI Lab,Male,Dispersed Exponential Family Mixture VAEs for Interpretable Text Generation
182,Eric Liang,"University of California, Berkeley",Male,Peter Chen,COVARIANT.AI,Male,Variable Skipping for Autoregressive Range Density Estimation
183,Wei Zhang,Facebook Inc.,Male,David Page,Duke,Male,CAUSE: Learning Granger Causality from Event Sequences using Attribution Methods
184,Arnab Bhattacharyya,National University of Singapore,Male,Vinodchandran N. Variyam,"University of Nebraska, Lincoln",Male,Learning and Sampling of Atomic Interventions from Observations
185,Ibrahim El Shar,University of Pittsburgh,Male,Daniel Jiang,University of Pittsburgh,Male,Lookahead-Bounded Q-learning
186,Arpit Agarwal,University of Pennsylvania,Male,Prathamesh Patil,University of Pennsylvania,Male,Rank Aggregation from Pairwise Comparisons in the Presence of Adversarial Corruptions
187,Megha Srivastava,Stanford University,Female,Percy Liang,Stanford University,Male,Robustness to Spurious Correlations via Human Annotations
188,Jingfeng Wu,Johns Hopkins University,Male,Lin Yang,UCLA,Male,Obtaining Adjustable Regularization for Free via Iterate Averaging
189,Jianyi Zhang,Duke University,Male,Changyou Chen,SUNY Buffalo,Male,Variance Reduction in Stochastic Particle-Optimization Sampling
190,Elan Rosenfeld,Carnegie Mellon University,Male,Zico Kolter,Carnegie Mellon University / Bosch Center for AI,Male,Certified Robustness to Label-Flipping Attacks via Randomized Smoothing
191,Vivek Jayaram,University of Washington,Male,John Thickstun,University of Washington,Male,Source Separation with Deep Generative Priors
192,Dylan Foster,MIT,Male,Alexander Rakhlin,MIT,Male,Beyond UCB: Optimal and Efficient Contextual Bandits with Regression Oracles
193,Shiori Sagawa,Stanford University,Female,Percy Liang,Stanford University,Male,An Investigation of Why Overparameterization Exacerbates Spurious Correlations
194,Duo Chai,Shannon.AI,Male,Jiwei Li,Shannon.AI,Male,Description Based Text Classification with Reinforcement Learning
195,Taejong Joo,ESTsoft,Male,Min-Gwan Seo,ESTsoft,Male,Being Bayesian about Categorical Probability
196,Hippolyte Bourel,ENS Rennes,Male,Mohammad Sadegh Talebi,University of Copenhagen,Male,Tightening Exploration in Upper Confidence Reinforcement Learning
