,first-author,first-author-affiliation,First Author Gender,last-author,last-author-affiliation,Last Author Affiliation,title
784,Brian Brubach,Wellesley College,Male,Leonidas Tsepenekas,"University of Maryland, College Park",Male,A Pairwise Fair and Community-preserving Approach to k-Center Clustering
785,Qianli Shen,Peking University,Male,Tuo Zhao,Georgia Tech,Male,Deep Reinforcement Learning with Smooth Policy
786,Matt Hoffman,Google,Male,Yian Ma,Google,Male,Black-Box Variational Inference as a Parametric Approximation to Langevin Dynamics
787,Harsh Satija,McGill University,Male,Joelle Pineau,McGill University / Facebook,Female,Constrained Markov Decision Processes via Backward Value Functions
788,Yanzhi Chen,University of Edinburgh,Male,Zhanxing Zhu,Peking University,Male,On Breaking Deep Generative Model-based Defenses and Beyond
789,Lijun Wu,Microsoft Research; Sun Yat-sen University,Male,Tie-Yan Liu,Microsoft Research Asia,Male,Sequence Generation with Mixed Representations
790,Amit Dhurandhar,IBM Research,Male,Ronny Luss,IBM Research,Male,Enhancing Simple Models by Exploiting What They Already Know
791,Ankit Raj,University of Illinois at Urbana-Champaign,Male,Bo Li,UIUC,Female,Improving Robustness of Deep-Learning-Based Image Reconstruction
792,Dylan Peifer,Cornell University,Male,Daniel Halpern-Leistner,Cornell University,Male,Learning Selection Strategies in Buchberger’s Algorithm
793,Juntang Zhuang,Yale University,Male,James Duncan,Yale University,Male,Adaptive Checkpoint Adjoint Method for Gradient Estimation in Neural ODE
794,Dimitris Tsipras,MIT,Male,Aleksander Madry,MIT,Male,From ImageNet to Image Classification: Contextualizing Progress on Benchmarks
795,Blake Bordelon,Harvard University,Male,Cengiz Pehlevan,Harvard University,Male,Spectrum Dependent Learning Curves in Kernel Regression and Wide Neural Networks
796,Chris Finlay,McGill University,Male,Adam Oberman,McGill University,Male,How to Train Your Neural ODE: the World of Jacobian and Kinetic Regularization
797,Ali Siahkamari,Boston University,Male,Venkatesh Saligrama,Boston University,Male,Piecewise Linear Regression via a Difference of Convex Functions
798,Rakshit Trivedi,Georgia Institute of Technology,Male,Hongyuan Zha,Georgia Institute of Technology,Male,GraphOpt: Learning Optimization Models of Graph Formation
799,Minh Hoang,Carnegie Mellon University,Male,Carleton Kingsford,Carnegie Mellon University,Male,Optimizing Dynamic Structures with Bayesian Generative Search
800,Ting Chen,Google Brain,Male,Yizhou Sun,UCLA,Female,Differentiable Product Quantization for End-to-End Embedding Compression
801,Xin Su,Tsinghua University,Male,Feng Chen,Tsinghua University,Male,Task Understanding from Confusing Multi-task Data
802,Zhimei Li,Shanghai University of Finance and Economics,Male,Yaowu Zhang,Shanghai University of Finance and Economics,Male,On a projective ensemble approach to two sample test for equality of distributions
803,Chen Dan,Carnegie Mellon University,Male,Pradeep Ravikumar,Carnegie Mellon University,Male,Sharp Statistical Guaratees for Adversarially Robust Gaussian Classification
804,Sudeep Salgia,Cornell University,Male,Sattar Vakili,Prowler.io,Male,Stochastic Coordinate Minimization with Progressive Precision for Stochastic Convex Optimization
805,Seong-Jin Park,Samsung Advanced Institute of Technology,Male,Sung Ju Hwang,"KAIST, AITRICS",Male,Meta Variance Transfer: Learning to Augment from the Others
806,Utku Evci,Google,Male,Erich Elsen,Google,Male,Rigging the Lottery: Making All Tickets Winners
807,Hyeonseong Jeon,Sungkyunkwan University,Male,Simon Woo,SKKU,Male,T-GD: Transferable GAN-generated Images Detection Framework
808,Risheng Liu,Dalian University of Technology,Male,Jin Zhang,Southern University of Science and Technology,Male,A Generic First-Order Algorithmic Framework for Bi-Level Programming Beyond Lower-Level Singleton
809,Guangzeng Xie,Peking University,Male,Zhihua Zhang,Peking University,Male,Lower Complexity Bounds for Finite-Sum Convex-Concave Minimax Optimization Problems
810,Priyank Jaini,University of Amsterdam,Male,Marcus Brubaker,Borealis AI,Male,Tails of Lipschitz Triangular Flows
811,Srinadh Bhojanapalli,Google AI,Male,Sanjiv Kumar,"Google Research, NY",Male,Low-Rank Bottleneck in Multi-head Attention Models
812,Jiacheng Cheng,"University of California, San Diego",Male,Dacheng Tao,The University of Sydney,Male,Learning with Bounded Instance- and Label-dependent Label Noise
813,Mark Braverman,Princeton University,Male,Yi Zhang,Princeton University,Female,"Calibration, Entropy Rates, and Memory in Language Models"
814,John Miller,"University of California, Berkeley",Male,University of California Moritz Hardt,"University of California, Berkeley",Male,Strategic Classification is Causal Modeling in Disguise
815,Hongyuan Mei,Johns Hopkins University,Male,Jason Eisner,Microsoft Semantic Machines / Johns Hopkins Univ.,Male,Neural Datalog Through Time: Informed Temporal Modeling via Logical Specification
816,Yingyi Ma,UIC,Male,Xinhua Zhang,University of Illinois at Chicago (UIC),Male,Convex Representation Learning for Generalized Invariance in Semi-Inner-Product Space
817,Louis-Pascal Xhonneux,Mila / Université de Montréal,Male,Jian Tang,HEC Montreal & MILA,Male,Continuous Graph Neural Networks
818,Florence Regol,McGill University,Male,Mark Coates,McGill University,Male,Active Learning on Attributed Graphs via Graph   Cognizant Logistic Regression and Preemptive Query Generation
819,Daoli Zhu,Shanghai Jiao Tong University,Male,Lei Zhao,Shanghai Jiao Tong University,Male,Linear Convergence of Randomized Primal-Dual Coordinate Method for Large-scale Linear Constrained Convex Programming
820,Brian Zhang,Carnegie Mellon University,Male,Tuomas Sandholm,Carnegie Mellon University,Male,Sparsified Linear Programming for Zero-Sum Equilibrium Finding
821,Quoc Tran-Dinh,The University of North Carolina at Chapel Hill,Male,Lam Nguyen,"IBM Research, Thomas J. Watson Research Center",Male,Stochastic Gauss-Newton Algorithms for Nonconvex Compositional Optimization
822,Vitchyr Pong,UC Berkeley,Male,Sergey Levine,UC Berkeley,Male,Skew-Fit: State-Covering Self-Supervised Reinforcement Learning
823,YUREN MAO,"School of Computer Science and Engineering, University of New South Wales",Male,Xuemin Lin,University of New South Wales,Male,Adaptive Adversarial Multi-task Representation Learning
824,Jiabao Lei,South China University of Technology,Male,Kui Jia,South China University of Technology,Male,Analytic Marching: An Analytic Meshing Solution from Deep Implicit Surface Networks
825,Yuchen Lu,Mila & University of Montreal,Male,Olivier Pietquin,Google Brain,Male,Countering Language Drift with Seeded Iterated Learning
826,Pengyu Cheng,Duke University,Male,Lawrence Carin,Duke,Male,CLUB: A Contrastive Log-ratio Upper Bound of Mutual Information
827,Chi Jin,Princeton University,Male,Tiancheng Yu,MIT,Male,Reward-Free Exploration for Reinforcement Learning
828,Guanyi Wang,Georgia Institute of Technology,Male,Santanu  Dey,Georgia Institute of Technology,Male,Upper bounds for Model-Free Row-Sparse Principal Component Analysis
829,Jingwei Zhuo,Alibaba Group,Male,Kun Gai,Alibaba Group,Male,Learning Optimal Tree Models under Beam Search
830,Deb Mahapatra,National University of Singapore,Male,Vaibhav Rajan,National University of Singapore,Male,Multi-Task Learning with User Preferences: Gradient Descent with Controlled Ascent in Pareto Optimization
831,Yuhao Zhang,University of Wisconsin-Madison,Male,Loris D'Antoni,University of Wisconsin-Madison,Male,Robustness to Programmable String Transformations via Augmented Abstract Training
832,Tianyu Wang,Duke University,Male,Cynthia Rudin,Duke,Female,Bandits for BMO Functions
833,Zhengyang Shen,Peking University,Male,Jinwen Ma,Peking University,Male,PDO-eConvs: Partial Differential Operator Based Equivariant Convolutions
834,Michael Zhu,Stanford University,Male,Jun Zhu,Tsinghua University,Male,Variance Reduction and Quasi-Newton for Particle-Based Variational Inference
835,Suraj Nair,Stanford University,Male,Chelsea Finn,Stanford,Female,Goal-Aware Prediction: Learning to Model What Matters
836,Xuezhou Zhang,UW-Madison,Male,Jerry Zhu,University of Wisconsin-Madison,Male,Adaptive Reward-Poisoning Attacks against Reinforcement Learning
837,Zijun Zhang,University of Calgary,Male,Liam Paull,Université de Montréal,Male,Perceptual Generative Autoencoders
838,Jinshuo Dong,University of Pennsylvania,Male,Ryan Rogers,LinkedIn,Male,Optimal Differential Privacy Composition for Exponential Mechanisms
839,Zhongxiang Dai,National University of Singapore,Male,Teck-Hua Ho,National University of Singapore,Male,R2-B2: Recursive Reasoning-Based Bayesian Optimization for No-Regret Learning in Games
840,Zhizhong Han,"University of Maryland, College Park",Male,Matthias Zwicker,University of Maryland,Male,DRWR: A Differentiable Renderer without Rendering for Unsupervised 3D Structure Learning from Silhouette Images
841,Geon-Hyeong Kim,KAIST,Male,Kee-Eung Kim,KAIST,Male,Variational Inference for Sequential Data with Future Likelihood Estimates
842,Zehua Lai,University of Chicago,Male,Lek-Heng Lim,University of Chicago,Male, Recht-Re Noncommutative Arithmetic-Geometric Mean Conjecture is False
843,Sanghamitra Dutta,Carnegie Mellon University,Female,Kush Varshney,IBM Research AI,Male,Is There a Trade-Off Between Fairness and Accuracy? A Perspective Using Mismatched Hypothesis Testing
844,Denny Zhou,Google Brain,Male,Dale Schuurmans,Google / University of Alberta,Male,"Go Wide, Then Narrow: Efficient Training of Deep Thin Networks"
845,DiJia Su,Princeton University,Male,Craig Boutilier,Google,Male,ConQUR: Mitigating Delusional Bias in Deep Q-Learning 
846,Zhe Feng,Harvard University,Male,Haifeng Xu,University of Virginia,Male,The Intrinsic Robustness of Stochastic Bandits to Strategic Manipulation
847,Yang Yu,Purdue University,Male,Guang Cheng,Purdue University,Male,Simultaneous Inference for Massive Data: Distributed Bootstrap
848,Lin Chen,Yale University,Male,Amin Karbasi,Yale,Male,More Data Can Expand The Generalization Gap Between Adversarially Robust and Standard Models
849,Di Wang,State University of New York at Buffalo,Male,Jinhui Xu,SUNY Buffalo,Male,On Differentially Private Stochastic Convex Optimization  with Heavy-tailed Data
850,Tianxiao Shen,MIT,Female,Tommi Jaakkola,MIT,Male,Educating Text Autoencoders: Latent Representation Guidance via Denoising
851,Shengpu Tang,University of Michigan,Male,Jenna Wiens,University of Michigan,Female,Clinician-in-the-Loop Decision Making: Reinforcement Learning with Near-Optimal Set-Valued Policies
852,Miaoyun Zhao,Duke University,Male,Lawrence Carin,Duke,Male,On Leveraging Pretrained GANs for Generation with Limited Data
853,Heewoo Jun,OpenAI,Male,Ilya Sutskever,OpenAI,Male,Distribution Augmentation for Generative Modeling
854,Vasileios Lioutas,Carleton University,Male,Yuhong Guo,Carleton University,Female,Time-aware Large Kernel Convolutions
855,Jeffrey Negrea,University of Toronto,Male,Daniel Roy,University of Toronto; Vector Institute,Male,Generalization via Derandomization
856,Alexander Bogatskiy,University of Chicago,Male,Risi Kondor,The University of Chicago,Male,Lorentz Group Equivariant Neural Network for Particle Physics
857,Xiang Jiang,"Imagia, Dalhousie University",Male,Mohammad Havaei,Imagia,Male,Implicit Class-Conditioned Domain Alignment for Unsupervised Domain Adaptation
858,Lin Yang,UCLA,Male,Mengdi Wang,Princeton University,Female,"Reinforcement Learning in Feature Space: Matrix Bandit, Kernels, and Regret Bound"
859,Xingjun Ma,Deakin University,Male,James Bailey,The University of Melbourne,Male,Normalized Loss Functions for Deep Learning with Noisy Labels
860,Hrayr Harutyunyan,University of Southern California,Male,Aram Galstyan,USC Information Sciences Institute,Male,Improving generalization by controlling label-noise information in neural network weights
861,Justin Khim,Carnegie Mellon University,Male,Pradeep Ravikumar,Carnegie Mellon University,Male,Uniform Convergence of Rank-weighted Learning 
862,Xinjie Fan,UT Austin,Male,Y. X. Rachel Wang,University of Sydney,Female,On hyperparameter tuning in general clustering problemsm
863,Alex Ayoub,University of Alberta,Male,Lin Yang,UCLA,Male,Model-Based Reinforcement Learning with Value-Targeted Regression
864,Ying Jin,Stanford University,Female,Junwei Lu,,Male,Computational and Statistical Tradeoffs in Inferring Combinatorial Structures of Ising Model
865,Aditya Bhaskara,University of Utah,Male,Manish Purohit,Google Research,Male,Online Learning with Imperfect Hints
866,Ashok Cutkosky,Boston University,Male,Harsh Mehta,Google Research,Male,Momentum Improves Normalized SGD
867,Peng Wang,The Chinese University of Hong Kong,Male,Anthony Man-Cho So,The Chinese University of Hong Kong,Male,A Nearly-Linear Time Algorithm for Exact Community Recovery in Stochastic Block Model
868,Nghia Hoang,"MIT-IBM Watson AI Lab, IBM Research",Male,Patrick Jaillet ,MIT,Male,Learning Task-Agnostic Embedding of Multiple Black-Box Experts for Multi-Task Model Fusion
869,Yu Chen,College of William and Mary,Male,Xin Jin,Johns Hopkins University,Male,On Efficient Constructions of Checkpoints
870,Pingchuan Ma,MIT,Male,Wojciech Matusik,MIT,Male,Efficient Continuous Pareto Exploration in Multi-Task Learning
871,Amrita Roy Chowdhury,University of Wisconsin-Madison,Female,Somesh Jha,"University of Wisconsin, Madison",Male,Data-Dependent Differentially Private Parameter Learning for Directed Graphical Models
872,Rupert Freeman,Microsoft Research,Male,Jenn Wortman Vaughan,Microsoft Research,Female,No-Regret and Incentive-Compatible Online Learning
873,Pavel Izmailov,New York University,Male,Andrew Wilson,New York University,Male,Semi-Supervised Learning with Normalizing Flows
874,Jeff Calder,University of Minnesota,Male,Dejan Slepcev,Carnegie Mellon University,Male,Poisson Learning: Graph Based Semi-Supervised Learning At Very Low Label Rates
875,Justin Domke,"University of Massachusetts, Amherst",Male,Justin Domke,"University of Massachusetts, Amherst",Male,Provable Smoothness Guarantees for Black-Box Variational Inference
876,Parsa Saadatpanah,University of Maryland,Male,Tom Goldstein,University of Maryland,Male,Adversarial Attacks on Copyright Detection Systems
877,Yang Li,University of North Carolina at Chapel Hill,Male,Junier Oliva,UNC-Chapel Hill,Male,ACFlow: Flow Models for Arbitrary Conditional Likelihoods
878,Lucas Caccia,McGIll,Male,Joelle Pineau,McGill University / Facebook,Female,Online Learned Continual Compression with Adaptive Quantization Modules
879,Feng Zhu,Peking University,Male,Zeyu Zheng,"University of California, Berkeley",Male,When Demands Evolve Larger and Noisier: Learning and Earning in a Growing Environment
880,Youzhi Zhang,Nanyang Technological University,Male,Bo An,Nanyang Technological University,Male,Converging to Team-Maxmin Equilibria in Zero-Sum Multiplayer Games
881,Liqun Chen,Duke University,Male,Jingjing Liu,Microsoft,Female,Graph Optimal Transport for Cross-Domain Alignment
882,Nicolas Loizou,"Mila, Université de Montréal",Male,Ioannis Mitliagkas,"MILA, UdeM",Male,Stochastic Hamiltonian Gradient Methods for Smooth Games
883,Taufik Xu,Tsinghua University,Male,Bo Zhang,Tsinghua University,Male,Understanding and Stabilizing GANs' Training Dynamics Using Control Theory
884,Weili Nie,Rice University,Male,Anima Anandkumar,Amazon AI & Caltech,Female,Semi-Supervised StyleGAN for Disentanglement Learning
885,Soham Dan,University of Pennsylvania,Male,Bhaswar B. Bhattacharya,University of Pennsylvania,Male,Goodness-of-Fit Tests for Inhomogeneous Random Graphs
886,Subhroshekhar Ghosh,National University of Singapore,Male,Xiaochuan Yang,Université du Luxembourg,Male,Fractal Gaussian Networks: A sparse random graph model based on Gaussian Multiplicative Chaos
887,Marko Vasic,The University of Texas at Austin,Male,David Soloveichik,The University of Texas at Austin,Male,Deep Molecular Programming: A Natural Implementation of Binary-Weight ReLU Neural Networks
888,Karl Stratos,Rutgers University,Male,Sam Wiseman,TTIC,Male,Learning Discrete Structured Representations by Adversarially Maximizing Mutual Information
889,Vaggos Chatziafratis,Stanford University,Male,Ioannis Panageas,Singapore University of Technology and Design,Male,Better depth-width trade-offs for neural networks through the lens of dynamical systems
890,Wengong Jin,MIT,Male,Tommi Jaakkola,MIT,Male,Multi-Objective Molecule Generation using Interpretable Substructures
891,Yi Su,Cornell University,Female,Miro Dudik,Microsoft Research,Male,Doubly robust off-policy evaluation with shrinkage 
892,Lijun Ding,Cornell University,Male,Chengrun Yang,Cornell University,Male,Spectral Frank-Wolfe Algorithm: Strict Complementarity and Linear Convergence
893,Jiaxuan You,Stanford University,Male,Saining Xie,Facebook AI Research,Male,Graph Structure of Neural Networks
894,Lingxiao Wang,Northwestern University,Male,Zhaoran Wang,Northwestern U,Male,Breaking the Curse of Many Agents: Provable Mean Embedding Q-Iteration for Mean-Field Reinforcement Learning
895,Dipendra Misra,Microsoft Research,Male,John Langford,Microsoft Research,Male,Kinematic State Abstraction and Provably Efficient Rich-Observation Reinforcement Learning
896,Natalia Martinez,Duke University,Female,Guillermo Sapiro,Duke University,Male,Minimax Pareto Fairness: A Multi Objective Perspective
897,Jay Heo,KAIST,Male,Sung Ju Hwang,"KAIST, AITRICS",Male,Cost-Effective Interactive Attention Learning with Neural Attention Processes
898,Yunzhu Li,MIT,Male,Antonio Torralba,MIT,Male,Visual Grounding of Learned Physical Models
899,Chuan Guo,Cornell University,Male,Laurens van der Maaten,Facebook,Male,Certified Data Removal from Machine Learning Models
900,Junfeng Wen,University of Alberta,Male,Dale Schuurmans,University of Alberta,Male,Domain Aggregation Networks for Multi-Source Domain Adaptation
901,Xinyi Wang,Carnegie Mellon University,Female,Graham Neubig,Carnegie Mellon University,Male,Optimizing Data Usage via Differentiable Rewards
902,Hangbo Bao,Harbin Institute of Technology,Male,Hsiao-Wuen Hon,Microsoft Research,Male,UniLMv2: Pseudo-Masked Language Models for Unified Language Model Pre-Training
903,Sina Ghiassian,University of Alberta,Male,Martha White,University of Alberta,Female,Gradient Temporal-Difference Learning with Regularized Corrections
904,Baharan Mirzasoleiman,Stanford University,Male,Jure Leskovec,Stanford University,Male,Coresets for Data-efficient Training of Machine Learning Models
905,Christopher Bender,The University of North Carolina Computer Science Department,Male,Junier Oliva,UNC-Chapel Hill,Male,Defense Through Diverse Directions
906,Yongchan Kwon,Stanford University,Male,Myunghee Cho Paik,Seoul National University,Female,Principled learning method for Wasserstein distributionally robust optimization with local perturbations
907,Fariborz Salehi,California Institute of Technology,Male,Babak Hassibi,Caltech,Male,The Performance Analysis of Generalized Margin Maximizers on Separable Data
908,Yi Tay,Google,Male,Da-Cheng Juan,Google,Male,Sparse Sinkhorn Attention
909,Sebastian Claici,MIT,Male,Justin Solomon,MIT,Male,Model Fusion with Kullback--Leibler Divergence
910,Ashok Cutkosky,Boston University,Male,Ashok Cutkosky,Boston University,Male,"Parameter-free, Dynamic, and Strongly-Adaptive Online Learning"
911,Vikas K Garg,Massachusetts Institute of Technology,Male,Tommi Jaakkola,MIT,Male,Generalization and Representational Limits of Graph Neural Networks
912,Wenlong Huang,UC Berkeley,Male,Deepak Pathak,"CMU, FAIR",Male,One Policy to Control Them All: Shared Modular Policies for Agent-Agnostic Control
913,Lu Jiang,Google Research,Male,Weilong Yang,Google Inc. ,Male,Beyond Synthetic Noise: Deep Learning on Controlled Noisy Labels
914,Zhe Dong,Google,Male,Hung Bui,VinAI Research,Male,Collapsed Amortized Variational Inference for Switching Nonlinear Dynamical Systems
915,Meng Qu,Mila,Male,Jian Tang,HEC Montreal & MILA,Male,Few-shot Relation Extraction via Bayesian Meta-learning on Relation Graphs
916,Wei Deng,Purdue University,Male,Guang Lin,Purdue University,Male,Non-convex Learning via Replica Exchange Stochastic Gradient MCMC
917,Zhishuai Guo,The University of Iowa,Male,Tianbao Yang,The University of Iowa,Male,Communication-Efficient Distributed Stochastic AUC Maximization with Deep Neural Networks
918,Yue Sheng,University of Pennsylvania,Male,Edgar Dobriban,University of Pennsylvania,Male,One-shot Distributed Ridge Regression in High Dimensions
919,Evan Liu,"Stanford University, Google Research",Male,Junwhan Ahn,Google,Male,An Imitation Learning Approach for Cache Replacement
920,Jonathan Mamou,Intel Labs,Male,SueYeon Chung,Columbia University,Female,Emergence of Separable Manifolds in Deep Language Representations
921,Siddharth Reddy,"University of California, Berkeley",Male,Jan Leike,U Oxford,Male,Learning Human Objectives by Evaluating Hypothetical Behavior
922,Feihu Huang,University of Pittsburgh,Male,Heng Huang,University of Pittsburgh & JD Finance America Corporation,Male,Momentum-Based Policy Gradient Methods
923,Shangtong Zhang,University of Oxford,Male,Shimon Whiteson,University of Oxford,Male,Provably Convergent Two-Timescale Off-Policy Actor-Critic with Function Approximation
924,Jimmy Lin,University of British Columbia,Male,Margo Seltzer,University of British Columbia,Male,Generalized and Scalable Optimal Sparse Decision Trees
925,Jessica Hoffmann,University of Texas at Austin,Female,Constantine Caramanis,University of Texas,Male,Learning Mixtures of Graphs from Epidemic Cascades 
926,Jiaqi Lv,Southeast University,Female,Masashi Sugiyama,RIKEN / The University of Tokyo,Male,Progressive Identification of True Labels for Partial-Label Learning
927,Qi Lei,University of Texas at Austin,Female,Constantinos Daskalakis,MIT,Male,SGD Learns One-Layer Networks in WGANs
928,Yu Cheng,University of Illinois at Chicago,Male,Mahdi Soltanolkotabi,University of Southern California,Male,High-dimensional Robust Mean Estimation via Gradient Descent
929,Jae Hyun Lim,Mila,Male,Chin-Wei Huang,MILA,Male,AR-DAE: Towards Unbiased Neural Entropy Gradient Estimation
930,Jingwei Xu,Shanghai Jiao Tong University,Male,Prof. Darrell,University of California at Berkeley,Male,Video Prediction via Example Guidance
931,Jonathan Lee,Stanford University,Male,Michael Jordan,UC Berkeley,Male,Accelerated Message Passing for Entropy-Regularized MAP Inference
932,Andrey Sakryukin,National University of Singapore,Male,Mohan Kankanhalli,"National University of Singapore,",Male,Inferring DQN structure for high-dimensional continuous control
933,Chaitanya Ryali,UC San Diego,Male,Dmitry Krotov,IBM Research,Male,Bio-Inspired Hashing for Unsupervised Similarity Search
934,Sai Krishna Gottipati,99andBeyond,Male,Yoshua Bengio,Montreal Institute for Learning Algorithms,Male,Learning to Navigate The Synthetically Accessible Chemical Space Using Reinforcement Learning
935,Georgios Smyrnis,National Technical University of Athens,Male,Petros Maragos,National Technical University of Athens,Male,Multiclass Neural Network Minimization via Tropical Newton Polytope Approximation
936,Wei Ping,Baidu Research,Male,Zhao Song,Baidu Research,Male,WaveFlow: A Compact Flow-based Model for Raw Audio
937,Amirata Ghorbani,Stanford,Male,James Zou,Stanford University,Male,A Distributional Framework For Data Valuation
938,Louis Faury,Criteo AI Lab,Male,Olivier Fercoq,Telecom Paris,Male,Improved Optimistic Algorithms for Logistic Bandits
939,Jincheng Mei,University of Alberta / Google Brain,Male,Dale Schuurmans,University of Alberta,Male,On the Global Convergence Rates of Softmax Policy Gradient Methods
940,Sankalp Garg,Indian Institute of Technology Delhi,Male,Mausam ,IIT Delhi,Male,Symbolic Network: Generalized Neural Policies for Relational MDPs
941,Marjan Ghazvininejad,Facebook AI Research (FAIR),Male,Omer Levy,Facebook,Male,Aligned Cross Entropy for Non-Autoregressive Machine Translation
942,Kinjal Basu,LinkedIn Corporation,Male,Yao Pan,LinkedIn Corporation,Male,ECLIPSE: An Extreme-Scale Linear Program Solver for Web-Applications
943,Kuno Kim,Stanford University,Male,Daniel Yamins,Stanford University,Male,Active World Model Learning in Agent-rich Environments with Progress Curiosity
944,Mengjiao Yang,Google Brain,Female,Dale Schuurmans,Google / University of Alberta,Male,Energy-Based Processes for Exchangeable Data
945,Mao Ye,UT Austin,Male,Qiang Liu,UT Austin,Male,Good Subnetworks Provably Exist: Pruning via Greedy Forward Selection
946,Tonghan Wang,Tsinghua University,Male,Chongjie Zhang,Tsinghua University,Male,ROMA: Multi-Agent Reinforcement Learning with Emergent Roles
947,Michael Chang,UC Berkeley,Male,Sergey Levine,UC Berkeley,Male,Decentralized Reinforcement Learning: Global Decision-Making via Local Economic Transactions
948,Pang Wei Koh,Stanford University,Male,Percy Liang,Stanford University,Male,Concept Bottleneck Models
949,Vaishaal Shankar,UC Berkeley,Male,Ludwig Schmidt,"University of California, Berkeley",Male,Evaluating Machine Accuracy on ImageNet
950,Aadirupa Saha,"Indian Institute of Science (IISc), Bangalore",Male,Aditya Gopalan,Indian Institute of Science,Male,From PAC to Instance-Optimal Sample Complexity in the Plackett-Luce Model
951,Yuning You,Texas A&M University,Male,Yang Shen,Texas A&M University,Male,When Does Self-Supervision Help Graph Convolutional Networks?
952,Haoran Sun,University of Minnesota,Male,Mingyi Hong,University of Minnesota,Male,Improving the Sample and Communication Complexity for Decentralized Non-Convex Optimization: Joint Gradient Estimation and Tracking
953,Andrey Voynov,Yandex,Male,Artem Babenko,Yandex,Male,Unsupervised Discovery of Interpretable Directions in the GAN Latent Space
954,Sivan Sabato,Ben-Gurion University of the Negev,Male,Elad Yom-Tov,Microsoft Research,Male,Bounding the fairness and accuracy of classifiers from population statistics
955,Michael Laskin,UC Berkeley,Male,Pieter Abbeel,UC Berkeley & Covariant,Male,CURL: Contrastive Unsupervised Representations for Reinforcement Learning
956,Melika Emami,University of California Los Angeles,Female,Alyson Fletcher,UCLA,Female,Generalization Error of Generalized Linear Models in High Dimensions
957,Alnur Ali,Stanford University,Male,Ryan Tibshirani,Carnegie Mellon University,Male,The Implicit Regularization of Stochastic Gradient Flow for Least Squares
958,Florian Schaefer,Caltech,Male,Anima Anandkumar,Amazon AI & Caltech,Female,Implicit competitive regularization in GANs
959,Adam Elmachtoub,Columbia University,Male,Ryan McNellis,Amazon,Male,Decision Trees for Decision-Making under the Predict-then-Optimize Framework
960,Tim Liang,NUS,Male,Jiashi Feng,National University of Singapore,Male,Do We Really Need to Access the Source Data? Source Hypothesis Transfer for Unsupervised Domain Adaptation
961,Eric Mazumdar,University of California Berkeley,Male,Peter Bartlett,UC Berkeley,Male,On Thompson Sampling with Langevin Algorithms
962,Yoel Drori,Google Research,Male,Ohad Shamir,Weizmann Institute of Science,Male,The Complexity of Finding Stationary Points with Stochastic Gradient Descent
963,Amélie Héliou,Criteo,Female,Zhengyuan Zhou,Stanford University,Male,Gradient-free Online Learning in Continuous Games with Delayed Rewards
964,Aristotelis Chrysakis,KU Leuven,Male,Marie-Francine Moens,KU Leuven,Female,Online Continual Learning from Imbalanced Data
965,Alexander Shevchenko,IST Austria,Male,Marco Mondelli,IST Austria,Male,Landscape Connectivity and Dropout Stability of SGD Solutions for Over-parameterized Neural Networks
966,Xuefei Zhang,University of Michigan,Undefined,Ji Zhu,University of Michigan,Male,A Flexible Latent Space Model for Multilayer Networks
967,Nutan Chen,Volkswagen AG,Male,Patrick van der Smagt,Volkswagen Group,Male,Learning Flat Latent Manifolds with VAEs
968,Henry Reeve,University of Birmingham,Male,Ata Kaban,University of Birmingham,Female,Optimistic Bounds for Multi-output Learning
969,Samy Jelassi,Princeton University,Male,Joan Bruna,New York University,Male,Extra-gradient with player sampling for faster convergence in n-player games
970,Christoph Hofer,University of Salzburg,Male,Roland Kwitt,"""University of Salzburg, Austria""",Male,Topologically Densified Distributions
971,Tim G. J. Rudner,University of Oxford,Male,Yarin Gal,University of Oxford,Male,Inter-domain Deep Gaussian Processes
972,Ronen Basri,Weizmann Institute of Science,Male,Shira Kritchman,Weizmann Institute,Undefined,Frequency Bias in Neural Networks for Input of Non-Uniform Density
973,Boris Muzellec,"ENSAE, Institut Polytechnique de Paris",Male,Marco Cuturi,Google,Male,Missing Data Imputation using Optimal Transport
974,Prabhu Teja Sivaprasad,Idiap Research Institute,Male,François Fleuret,University of Geneva,Male,Optimizer Benchmarking Needs to Account for Hyperparameter Tuning
975,Vaishaal Shankar,UC Berkeley,Male,Benjamin Recht,Berkeley,Male,Neural Kernels Without Tangents
976,Lorenzo Croissant,Criteo AI Lab,Male,Clément Calauzènes,Criteo AI Lab,Male,Real-Time Optimisation for Online Learning in Auctions
977,Jingqing Zhang,Imperial College London,Male,Peter J. Liu,"Google Research, Brain team",Male,PEGASUS: Pre-training with Extracted Gap-sentences for Abstractive Summarization
978,Aleksandar Bojchevski,Technical University of Munich,Male,Stephan Günnemann,Technical University of Munich,Male,"Efficient Robustness Certificates for Discrete Data: Sparsity-Aware Randomized Smoothing for Graphs, Images and More"
979,Karsten Roth,"Heidelberg University, Mila",Male,Joseph Paul Cohen,"Mila, University of Montreal",Male,Revisiting Training Strategies and Generalization Performance in Deep Metric Learning
980,Adeel Pervez,University of Amsterdam,Male,Stratis Gavves,University of Amsterdam,Male,Low Bias Low Variance Gradient Estimates for Hierarchical Boolean Stochastic Networks
981,Max Simchowitz,UC Berkeley,Male,Dylan Foster,MIT,Male,Naive Exploration is Optimal for Online LQR
